School,Abbrev. Name,h_a,set,points,Date,Time,Site,Attendance,url
"SUNYIT
                                      ",      SITW,Away,3,25,2013-09-28,12:00:00,"                 Marcy, N.Y. (Wildcat Field House)

",98,https://rooathletics.com/boxscore.aspx?id=1212&path=wvball
"SUNYIT
                                      ",      SITW,Away,4,25,2013-09-28,12:00:00,"                 Marcy, N.Y. (Wildcat Field House)

",98,https://rooathletics.com/boxscore.aspx?id=1212&path=wvball
"YORK
                                      ",      YORK,Home,1,14,2013-09-28,14:00:00,"                 Marcy, N.Y. (Wildcat Field House)

",67,https://rooathletics.com/boxscore.aspx?id=1213&path=wvball
"YORK
                                      ",      YORK,Home,2,7,2013-09-28,14:00:00,"                 Marcy, N.Y. (Wildcat Field House)

",67,https://rooathletics.com/boxscore.aspx?id=1213&path=wvball
"YORK
                                      ",      YORK,Home,3,8,2013-09-28,14:00:00,"                 Marcy, N.Y. (Wildcat Field House)

",67,https://rooathletics.com/boxscore.aspx?id=1213&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,1,25,2013-09-28,14:00:00,"                 Marcy, N.Y. (Wildcat Field House)

",67,https://rooathletics.com/boxscore.aspx?id=1213&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,2,25,2013-09-28,14:00:00,"                 Marcy, N.Y. (Wildcat Field House)

",67,https://rooathletics.com/boxscore.aspx?id=1213&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,3,25,2013-09-28,14:00:00,"                 Marcy, N.Y. (Wildcat Field House)

",67,https://rooathletics.com/boxscore.aspx?id=1213&path=wvball
"SUNY Potsdam
                                         ",   POTVB13,Home,1,25,2013-10-01,19:00:00,"                 Canton, NY (Roos House)

",275,https://rooathletics.com/boxscore.aspx?id=1393&path=wvball
"SUNY Potsdam
                                         ",   POTVB13,Home,2,18,2013-10-01,19:00:00,"                 Canton, NY (Roos House)

",275,https://rooathletics.com/boxscore.aspx?id=1393&path=wvball
"SUNY Potsdam
                                         ",   POTVB13,Home,3,18,2013-10-01,19:00:00,"                 Canton, NY (Roos House)

",275,https://rooathletics.com/boxscore.aspx?id=1393&path=wvball
"SUNY Potsdam
                                         ",   POTVB13,Home,4,25,2013-10-01,19:00:00,"                 Canton, NY (Roos House)

",275,https://rooathletics.com/boxscore.aspx?id=1393&path=wvball
"SUNY Potsdam
                                         ",   POTVB13,Home,5,13,2013-10-01,19:00:00,"                 Canton, NY (Roos House)

",275,https://rooathletics.com/boxscore.aspx?id=1393&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,1,16,2013-10-01,19:00:00,"                 Canton, NY (Roos House)

",275,https://rooathletics.com/boxscore.aspx?id=1393&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,2,25,2013-10-01,19:00:00,"                 Canton, NY (Roos House)

",275,https://rooathletics.com/boxscore.aspx?id=1393&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,3,25,2013-10-01,19:00:00,"                 Canton, NY (Roos House)

",275,https://rooathletics.com/boxscore.aspx?id=1393&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,4,18,2013-10-01,19:00:00,"                 Canton, NY (Roos House)

",275,https://rooathletics.com/boxscore.aspx?id=1393&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,5,15,2013-10-01,19:00:00,"                 Canton, NY (Roos House)

",275,https://rooathletics.com/boxscore.aspx?id=1393&path=wvball
